player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Christian McCaffrey,SF,RB,16,2025,1.0,6.47,0.4,5.23,0.33
Bijan Robinson,ATL,RB,16,2025,2.0,5.58,0.35,4.37,0.27
Jonathan Taylor,IND,RB,16,2025,3.0,5.44,0.34,4.14,0.26
Jahmyr Gibbs,DET,RB,16,2025,4.0,4.81,0.3,3.52,0.22
De'Von Achane,MIA,RB,16,2025,5.0,4.7,0.29,3.88,0.24
James Cook III,BUF,RB,16,2025,6.0,4.66,0.29,3.65,0.23
Puka Nacua,LAR,WR,15,2025,7.0,4.19,0.28,3.8,0.25
Jaxon Smith-Njigba,SEA,WR,16,2025,8.0,4.15,0.26,3.91,0.24
Derrick Henry,BAL,RB,16,2025,9.0,3.8,0.24,2.84,0.18
Josh Allen,BUF,QB,16,2025,10.0,3.71,0.23,,
Trey McBride,ARI,TE,16,2025,11.0,3.53,0.22,2.76,0.17
Kyren Williams,LAR,RB,16,2025,12.0,3.43,0.21,2.71,0.17
Travis Etienne Jr.,JAC,RB,16,2025,13.0,3.33,0.21,2.56,0.16
Chase Brown,CIN,RB,16,2025,14.0,3.23,0.2,2.39,0.15
Josh Jacobs,GB,RB,15,2025,15.0,3.22,0.21,2.35,0.16
Javonte Williams,DAL,RB,16,2025,16.0,3.17,0.2,2.44,0.15
Amon-Ra St. Brown,DET,WR,16,2025,17.0,2.95,0.18,2.61,0.16
George Pickens,DAL,WR,16,2025,18.0,2.92,0.18,2.68,0.17
Drake Maye,NE,QB,16,2025,19.0,2.9,0.18,,
Ja'Marr Chase,CIN,WR,15,2025,20.0,2.89,0.19,2.6,0.17
D'Andre Swift,CHI,RB,15,2025,21.0,2.88,0.19,2.15,0.14
Matthew Stafford,LAR,QB,16,2025,22.0,2.81,0.18,,
Saquon Barkley,PHI,RB,16,2025,23.0,2.79,0.17,2.02,0.13
Ashton Jeanty,LV,RB,16,2025,24.0,2.65,0.17,1.71,0.11
Patrick Mahomes II,KC,QB,14,2025,25.0,2.49,0.18,,
Dak Prescott,DAL,QB,16,2025,26.0,2.43,0.15,,
Trevor Lawrence,JAC,QB,16,2025,27.0,2.41,0.15,,
Rico Dowdle,CAR,RB,16,2025,28.0,2.38,0.15,1.35,0.08
Chris Olave,NO,WR,16,2025,29.0,2.31,0.14,2.18,0.14
Jalen Hurts,PHI,QB,16,2025,30.0,2.29,0.14,,
Jaylen Warren,PIT,RB,15,2025,31.0,2.24,0.15,1.58,0.11
Breece Hall,NYJ,RB,16,2025,32.0,2.18,0.14,1.36,0.08
Davante Adams,LAR,WR,14,2025,33.0,2.11,0.15,2.02,0.14
RJ Harvey,DEN,RB,16,2025,34.0,2.11,0.13,1.23,0.08
Caleb Williams,CHI,QB,16,2025,35.0,2.03,0.13,,
Justin Herbert,LAC,QB,16,2025,36.0,1.89,0.12,,
TreVeyon Henderson,NE,RB,16,2025,37.0,1.87,0.12,0.78,0.05
Bo Nix,DEN,QB,16,2025,38.0,1.85,0.12,,
Kenneth Gainwell,PIT,RB,16,2025,39.0,1.83,0.11,0.8,0.05
Jared Goff,DET,QB,16,2025,40.0,1.8,0.11,,
Nico Collins,HOU,WR,15,2025,41.0,1.78,0.12,1.73,0.12
Quinshon Judkins,CLE,RB,14,2025,42.0,1.73,0.12,1.0,0.07
George Kittle,SF,TE,10,2025,43.0,1.66,0.17,1.19,0.12
A.J. Brown,PHI,WR,15,2025,44.0,1.65,0.11,1.37,0.09
Omarion Hampton,LAC,RB,9,2025,45.0,1.63,0.18,1.17,0.13
Cam Skattebo,NYG,RB,8,2025,46.0,1.61,0.2,1.17,0.15
Drake London,ATL,WR,11,2025,47.0,1.61,0.15,1.32,0.12
Brock Purdy,SF,QB,8,2025,48.0,1.6,0.2,,
Kenneth Walker III,SEA,RB,16,2025,49.0,1.59,0.1,0.75,0.05
Jaxson Dart,NYG,QB,13,2025,50.0,1.59,0.12,,
CeeDee Lamb,DAL,WR,13,2025,51.0,1.53,0.12,1.51,0.12
Tony Pollard,TEN,RB,16,2025,52.0,1.51,0.09,0.71,0.04
Rashee Rice,KC,WR,8,2025,53.0,1.51,0.19,1.42,0.18
Zach Charbonnet,SEA,RB,15,2025,54.0,1.51,0.1,0.74,0.05
Dallas Goedert,PHI,TE,15,2025,55.0,1.49,0.1,0.82,0.05
Brock Bowers,LV,TE,12,2025,56.0,1.48,0.12,0.9,0.08
Jameson Williams,DET,WR,16,2025,57.0,1.45,0.09,1.18,0.07
Bucky Irving,TB,RB,9,2025,58.0,1.42,0.16,1.04,0.12
Courtland Sutton,DEN,WR,16,2025,59.0,1.39,0.09,1.29,0.08
Tee Higgins,CIN,WR,14,2025,60.0,1.37,0.1,1.21,0.09
Daniel Jones,IND,QB,13,2025,61.0,1.35,0.1,,
Tucker Kraft,GB,TE,8,2025,62.0,1.22,0.15,0.83,0.1
Travis Kelce,KC,TE,16,2025,63.0,1.2,0.07,0.51,0.03
Rhamondre Stevenson,NE,RB,13,2025,64.0,1.19,0.09,0.44,0.03
Wan'Dale Robinson,NYG,WR,16,2025,65.0,1.18,0.07,0.98,0.06
Zay Flowers,BAL,WR,16,2025,66.0,1.17,0.07,1.09,0.07
J.K. Dobbins,DEN,RB,10,2025,67.0,1.17,0.12,0.78,0.08
Kyle Pitts Sr.,ATL,TE,16,2025,68.0,1.17,0.07,0.39,0.02
Harold Fannin Jr.,CLE,TE,16,2025,69.0,1.16,0.07,0.49,0.03
Jacoby Brissett,ARI,QB,13,2025,70.0,1.13,0.09,,
David Montgomery,DET,RB,16,2025,71.0,1.12,0.07,0.21,0.01
Baker Mayfield,TB,QB,16,2025,72.0,1.12,0.07,,
Lamar Jackson,BAL,QB,12,2025,73.0,1.05,0.09,,
Tyler Warren,IND,TE,16,2025,74.0,1.04,0.07,0.38,0.02
Jake Ferguson,DAL,TE,16,2025,75.0,1.04,0.07,0.34,0.02
Kimani Vidal,LAC,RB,12,2025,76.0,1.04,0.09,0.25,0.02
Tetairoa McMillan,CAR,WR,16,2025,77.0,1.03,0.06,0.89,0.06
Michael Wilson,ARI,WR,16,2025,78.0,1.01,0.06,0.65,0.04
DK Metcalf,PIT,WR,15,2025,79.0,1.0,0.07,0.92,0.06
Jacory Croskey-Merritt,WAS,RB,16,2025,80.0,0.99,0.06,-0.04,-0.0
Quentin Johnston,LAC,WR,14,2025,81.0,0.99,0.07,0.82,0.06
Jaylen Waddle,MIA,WR,16,2025,82.0,0.95,0.06,0.82,0.05
Christian Watson,GB,WR,10,2025,83.0,0.95,0.1,0.84,0.08
Emeka Egbuka,TB,WR,16,2025,84.0,0.94,0.06,0.69,0.04
Woody Marks,HOU,RB,15,2025,85.0,0.94,0.06,0.06,0.0
Hunter Henry,NE,TE,16,2025,86.0,0.93,0.06,0.19,0.01
Stefon Diggs,NE,WR,16,2025,87.0,0.93,0.06,0.81,0.05
Kareem Hunt,KC,RB,16,2025,88.0,0.93,0.06,0.01,0.0
Jordan Love,GB,QB,15,2025,89.0,0.91,0.06,,
Kyle Monangai,CHI,RB,16,2025,90.0,0.9,0.06,-0.05,-0.0
Michael Pittman Jr.,IND,WR,16,2025,91.0,0.88,0.06,0.74,0.05
Tyrone Tracy Jr.,NYG,RB,14,2025,92.0,0.85,0.06,0.07,0.01
Rome Odunze,CHI,WR,12,2025,93.0,0.82,0.07,0.62,0.05
Deebo Samuel Sr.,WAS,WR,15,2025,94.0,0.82,0.05,0.68,0.05
Juwan Johnson,NO,TE,16,2025,95.0,0.8,0.05,0.13,0.01
DeVonta Smith,PHI,WR,16,2025,96.0,0.79,0.05,0.59,0.04
Dalton Kincaid,BUF,TE,11,2025,97.0,0.77,0.07,0.28,0.03
Aaron Jones Sr.,MIN,RB,12,2025,98.0,0.75,0.06,0.18,0.01
Garrett Wilson,NYJ,WR,7,2025,99.0,0.75,0.11,0.65,0.09
