player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Christian McCaffrey,SF,RB,16,2025,1.0,6.85,0.43,5.41,0.34
Bijan Robinson,ATL,RB,16,2025,2.0,5.78,0.36,4.4,0.27
Jonathan Taylor,IND,RB,16,2025,3.0,5.34,0.33,3.95,0.25
Jahmyr Gibbs,DET,RB,16,2025,4.0,4.99,0.31,3.57,0.22
De'Von Achane,MIA,RB,16,2025,5.0,4.86,0.3,3.84,0.24
Puka Nacua,LAR,WR,15,2025,6.0,4.63,0.31,4.25,0.28
Jaxon Smith-Njigba,SEA,WR,16,2025,7.0,4.53,0.28,4.35,0.27
James Cook III,BUF,RB,16,2025,8.0,4.45,0.28,3.32,0.21
Trey McBride,ARI,TE,16,2025,9.0,4.03,0.25,3.31,0.21
Josh Allen,BUF,QB,16,2025,10.0,3.5,0.22,,
Chase Brown,CIN,RB,16,2025,11.0,3.47,0.22,2.46,0.15
Derrick Henry,BAL,RB,16,2025,12.0,3.45,0.22,2.34,0.15
Ja'Marr Chase,CIN,WR,15,2025,13.0,3.4,0.23,3.1,0.21
Amon-Ra St. Brown,DET,WR,16,2025,14.0,3.31,0.21,3.02,0.19
Kyren Williams,LAR,RB,16,2025,15.0,3.24,0.2,2.33,0.15
Travis Etienne Jr.,JAC,RB,16,2025,16.0,3.19,0.2,2.25,0.14
Josh Jacobs,GB,RB,15,2025,17.0,3.13,0.21,2.09,0.14
George Pickens,DAL,WR,16,2025,18.0,3.11,0.19,2.94,0.18
Javonte Williams,DAL,RB,16,2025,19.0,3.03,0.19,2.12,0.13
Ashton Jeanty,LV,RB,16,2025,20.0,2.78,0.17,1.68,0.1
D'Andre Swift,CHI,RB,15,2025,21.0,2.77,0.18,1.88,0.13
Drake Maye,NE,QB,16,2025,22.0,2.74,0.17,,
Saquon Barkley,PHI,RB,16,2025,23.0,2.72,0.17,1.75,0.11
Matthew Stafford,LAR,QB,16,2025,24.0,2.64,0.16,,
Chris Olave,NO,WR,16,2025,25.0,2.63,0.16,2.62,0.16
Rico Dowdle,CAR,RB,16,2025,26.0,2.34,0.15,1.15,0.07
Patrick Mahomes II,KC,QB,14,2025,27.0,2.33,0.17,,
Dak Prescott,DAL,QB,16,2025,28.0,2.27,0.14,,
Trevor Lawrence,JAC,QB,16,2025,29.0,2.27,0.14,,
