player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Christian McCaffrey,SF,RB,16,2025,1.0,5.97,0.37,5.0,0.31
Jonathan Taylor,IND,RB,16,2025,2.0,5.52,0.35,4.34,0.27
Bijan Robinson,ATL,RB,16,2025,3.0,5.32,0.33,4.31,0.27
James Cook III,BUF,RB,16,2025,4.0,4.85,0.3,3.98,0.25
Jahmyr Gibbs,DET,RB,16,2025,5.0,4.59,0.29,3.45,0.22
De'Von Achane,MIA,RB,16,2025,6.0,4.48,0.28,3.88,0.24
Derrick Henry,BAL,RB,16,2025,7.0,4.17,0.26,3.36,0.21
Josh Allen,BUF,QB,16,2025,8.0,3.9,0.24,,
Jaxon Smith-Njigba,SEA,WR,16,2025,9.0,3.7,0.23,3.37,0.21
Puka Nacua,LAR,WR,15,2025,10.0,3.65,0.24,3.23,0.22
Kyren Williams,LAR,RB,16,2025,11.0,3.61,0.23,3.12,0.19
Travis Etienne Jr.,JAC,RB,16,2025,12.0,3.46,0.22,2.89,0.18
Josh Jacobs,GB,RB,15,2025,13.0,3.31,0.22,2.63,0.18
Javonte Williams,DAL,RB,16,2025,14.0,3.31,0.21,2.78,0.17
Drake Maye,NE,QB,16,2025,15.0,3.05,0.19,,
D'Andre Swift,CHI,RB,15,2025,16.0,2.98,0.2,2.43,0.16
Matthew Stafford,LAR,QB,16,2025,17.0,2.97,0.19,,
Chase Brown,CIN,RB,16,2025,18.0,2.96,0.18,2.3,0.14
Trey McBride,ARI,TE,16,2025,19.0,2.95,0.18,2.08,0.13
Saquon Barkley,PHI,RB,16,2025,20.0,2.87,0.18,2.3,0.14
George Pickens,DAL,WR,16,2025,21.0,2.7,0.17,2.36,0.15
Patrick Mahomes II,KC,QB,14,2025,22.0,2.64,0.19,,
Dak Prescott,DAL,QB,16,2025,23.0,2.57,0.16,,
Amon-Ra St. Brown,DET,WR,16,2025,24.0,2.55,0.16,2.13,0.13
Trevor Lawrence,JAC,QB,16,2025,25.0,2.53,0.16,,
Ashton Jeanty,LV,RB,16,2025,26.0,2.5,0.16,1.73,0.11
Jalen Hurts,PHI,QB,16,2025,27.0,2.43,0.15,,
Rico Dowdle,CAR,RB,16,2025,28.0,2.42,0.15,1.58,0.1
Ja'Marr Chase,CIN,WR,15,2025,29.0,2.28,0.15,1.95,0.13
Jaylen Warren,PIT,RB,15,2025,30.0,2.27,0.15,1.83,0.12
Breece Hall,NYJ,RB,16,2025,31.0,2.22,0.14,1.61,0.1
Caleb Williams,CHI,QB,16,2025,32.0,2.16,0.14,,
Davante Adams,LAR,WR,14,2025,33.0,2.16,0.15,1.93,0.14
RJ Harvey,DEN,RB,16,2025,34.0,2.02,0.13,1.35,0.08
