player,team,position,games,year,rank,WAR,WAR/G,Superflex WAR,Superflex WAR/G,Flex WAR,Flex WAR/G
Christian McCaffrey,SF,RB,16,2025,1.0,6.75,0.42,5.63,0.35,5.34,0.33
Bijan Robinson,ATL,RB,16,2025,2.0,5.7,0.36,4.6,0.29,4.35,0.27
Jonathan Taylor,IND,RB,16,2025,3.0,5.27,0.33,4.15,0.26,3.91,0.24
Jahmyr Gibbs,DET,RB,16,2025,4.0,4.93,0.31,3.78,0.24,3.54,0.22
De'Von Achane,MIA,RB,16,2025,5.0,4.79,0.3,3.93,0.25,3.79,0.24
Puka Nacua,LAR,WR,15,2025,6.0,4.57,0.3,4.43,0.3,4.2,0.28
Jaxon Smith-Njigba,SEA,WR,16,2025,7.0,4.46,0.28,4.49,0.28,4.29,0.27
James Cook III,BUF,RB,16,2025,8.0,4.39,0.27,3.44,0.22,3.28,0.2
Trey McBride,ARI,TE,16,2025,9.0,3.97,0.25,3.42,0.21,3.26,0.2
Josh Allen,BUF,QB,16,2025,10.0,3.45,0.22,4.57,0.29,,
Chase Brown,CIN,RB,16,2025,11.0,3.42,0.21,2.54,0.16,2.42,0.15
Derrick Henry,BAL,RB,16,2025,12.0,3.41,0.21,2.45,0.15,2.31,0.14
Ja'Marr Chase,CIN,WR,15,2025,13.0,3.35,0.22,3.26,0.22,3.06,0.2
Amon-Ra St. Brown,DET,WR,16,2025,14.0,3.26,0.2,3.17,0.2,2.98,0.19
Kyren Williams,LAR,RB,16,2025,15.0,3.2,0.2,2.38,0.15,2.29,0.14
Travis Etienne Jr.,JAC,RB,16,2025,16.0,3.14,0.2,2.31,0.14,2.21,0.14
Josh Jacobs,GB,RB,15,2025,17.0,3.08,0.21,2.19,0.15,2.06,0.14
George Pickens,DAL,WR,16,2025,18.0,3.06,0.19,3.06,0.19,2.9,0.18
Javonte Williams,DAL,RB,16,2025,19.0,2.99,0.19,2.17,0.14,2.09,0.13
Ashton Jeanty,LV,RB,16,2025,20.0,2.74,0.17,1.79,0.11,1.66,0.1
D'Andre Swift,CHI,RB,15,2025,21.0,2.72,0.18,1.94,0.13,1.85,0.12
Drake Maye,NE,QB,16,2025,22.0,2.7,0.17,4.27,0.27,,
Saquon Barkley,PHI,RB,16,2025,23.0,2.68,0.17,1.82,0.11,1.73,0.11
Matthew Stafford,LAR,QB,16,2025,24.0,2.6,0.16,4.03,0.25,,
Chris Olave,NO,WR,16,2025,25.0,2.6,0.16,2.7,0.17,2.58,0.16
Rico Dowdle,CAR,RB,16,2025,26.0,2.3,0.14,1.28,0.08,1.14,0.07
Patrick Mahomes II,KC,QB,14,2025,27.0,2.29,0.16,3.44,0.25,,
Trevor Lawrence,JAC,QB,16,2025,28.0,2.24,0.14,3.59,0.22,,
Dak Prescott,DAL,QB,16,2025,29.0,2.24,0.14,3.66,0.23,,
Jaylen Warren,PIT,RB,15,2025,30.0,2.17,0.14,1.39,0.09,1.32,0.09
RJ Harvey,DEN,RB,16,2025,31.0,2.14,0.13,1.21,0.08,1.1,0.07
Jalen Hurts,PHI,QB,16,2025,32.0,2.1,0.13,3.5,0.22,,
Breece Hall,NYJ,RB,16,2025,33.0,2.1,0.13,1.2,0.08,1.11,0.07
Kenneth Gainwell,PIT,RB,16,2025,34.0,2.09,0.13,1.06,0.07,0.91,0.06
Davante Adams,LAR,WR,14,2025,35.0,2.03,0.15,2.15,0.15,2.06,0.15
Caleb Williams,CHI,QB,16,2025,36.0,1.87,0.12,3.31,0.21,,
Nico Collins,HOU,WR,15,2025,37.0,1.82,0.12,1.96,0.13,1.88,0.13
TreVeyon Henderson,NE,RB,16,2025,38.0,1.81,0.11,0.75,0.05,0.6,0.04
A.J. Brown,PHI,WR,15,2025,39.0,1.8,0.12,1.76,0.12,1.62,0.11
Drake London,ATL,WR,11,2025,40.0,1.77,0.16,1.65,0.15,1.52,0.14
George Kittle,SF,TE,10,2025,41.0,1.75,0.17,1.42,0.14,1.34,0.13
Justin Herbert,LAC,QB,16,2025,42.0,1.73,0.11,3.1,0.19,,
CeeDee Lamb,DAL,WR,13,2025,43.0,1.73,0.13,1.87,0.14,1.8,0.14
Bo Nix,DEN,QB,16,2025,44.0,1.71,0.11,3.11,0.19,,
Omarion Hampton,LAC,RB,9,2025,45.0,1.7,0.19,1.19,0.13,1.12,0.12
Rashee Rice,KC,WR,8,2025,46.0,1.66,0.21,1.7,0.21,1.62,0.2
Jared Goff,DET,QB,16,2025,47.0,1.65,0.1,3.05,0.19,,
Cam Skattebo,NYG,RB,8,2025,48.0,1.61,0.2,1.15,0.14,1.09,0.14
Quinshon Judkins,CLE,RB,14,2025,49.0,1.6,0.11,0.81,0.06,0.74,0.05
Brock Bowers,LV,TE,12,2025,50.0,1.6,0.13,1.19,0.1,1.11,0.09
Wan'Dale Robinson,NYG,WR,16,2025,51.0,1.49,0.09,1.5,0.09,1.39,0.09
Brock Purdy,SF,QB,8,2025,52.0,1.48,0.19,2.1,0.26,,
Dallas Goedert,PHI,TE,15,2025,53.0,1.48,0.1,0.99,0.07,0.9,0.06
Courtland Sutton,DEN,WR,16,2025,54.0,1.48,0.09,1.56,0.1,1.46,0.09
Bucky Irving,TB,RB,9,2025,55.0,1.47,0.16,1.01,0.11,0.97,0.11
Kenneth Walker III,SEA,RB,16,2025,56.0,1.45,0.09,0.51,0.03,0.42,0.03
Jaxson Dart,NYG,QB,13,2025,57.0,1.42,0.11,2.32,0.18,,
Tony Pollard,TEN,RB,16,2025,58.0,1.42,0.09,0.51,0.03,0.44,0.03
Jameson Williams,DET,WR,16,2025,59.0,1.4,0.09,1.34,0.08,1.19,0.07
Kyle Pitts Sr.,ATL,TE,16,2025,60.0,1.39,0.09,0.84,0.05,0.72,0.04
Zay Flowers,BAL,WR,16,2025,61.0,1.36,0.08,1.47,0.09,1.39,0.09
