player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Christian McCaffrey,SF,RB,16,2025,1.0,6.75,0.42,5.21,0.33
Bijan Robinson,ATL,RB,16,2025,2.0,5.7,0.36,4.21,0.26
Jonathan Taylor,IND,RB,16,2025,3.0,5.27,0.33,3.77,0.24
Jahmyr Gibbs,DET,RB,16,2025,4.0,4.93,0.31,3.39,0.21
De'Von Achane,MIA,RB,16,2025,5.0,4.79,0.3,3.63,0.23
Trey McBride,ARI,TE,16,2025,6.0,4.64,0.29,4.21,0.26
Puka Nacua,LAR,WR,15,2025,7.0,4.57,0.3,4.07,0.27
Jaxon Smith-Njigba,SEA,WR,16,2025,8.0,4.46,0.28,4.14,0.26
James Cook III,BUF,RB,16,2025,9.0,4.39,0.27,3.12,0.2
Josh Allen,BUF,QB,16,2025,10.0,3.45,0.22,,
Chase Brown,CIN,RB,16,2025,11.0,3.42,0.21,2.25,0.14
Derrick Henry,BAL,RB,16,2025,12.0,3.41,0.21,2.15,0.13
Ja'Marr Chase,CIN,WR,15,2025,13.0,3.35,0.22,2.92,0.19
Amon-Ra St. Brown,DET,WR,16,2025,14.0,3.26,0.2,2.83,0.18
Kyren Williams,LAR,RB,16,2025,15.0,3.2,0.2,2.12,0.13
Travis Etienne Jr.,JAC,RB,16,2025,16.0,3.14,0.2,2.04,0.13
Josh Jacobs,GB,RB,15,2025,17.0,3.08,0.21,1.91,0.13
George Pickens,DAL,WR,16,2025,18.0,3.06,0.19,2.75,0.17
Javonte Williams,DAL,RB,16,2025,19.0,2.99,0.19,1.92,0.12
Ashton Jeanty,LV,RB,16,2025,20.0,2.74,0.17,1.49,0.09
D'Andre Swift,CHI,RB,15,2025,21.0,2.72,0.18,1.69,0.11
Drake Maye,NE,QB,16,2025,22.0,2.7,0.17,,
Saquon Barkley,PHI,RB,16,2025,23.0,2.68,0.17,1.56,0.1
Matthew Stafford,LAR,QB,16,2025,24.0,2.6,0.16,,
