Player,Team,FPTS,FPTS High,FPTS Low,Bye,ADP Rank,POS,ADP,AVG,MODE,MAD,AVG High,AVG Low,Pos,WAR,WAR High,WAR Low,WAR MAD,Rank,Historical WAR,Pos Rank,Overall Rank,Dollar Value,Flex WAR,Flex WAR High,Flex WAR Low,Diff,Tier
Christian McCaffrey,SF,350.59000000000003,399.61,326.86,9,1,RB1,1.0,20.62294117647059,325.29999999999995,19.135294117647057,23.506470588235295,19.22705882352941,RB,4.736607327251703,5.77896247887322,4.202008068628174,4.166291295042211,1.0,6.40312321171505,1.0RB,1.0,15000.0,4.118646727942218,5.053701435376161,3.6276961094314624,0.0,1
CeeDee Lamb,DAL,332.62,357.48999999999995,305.67,7,2,WR1,2.8,19.565882352941177,334.70000000000005,19.68823529411765,21.028823529411763,17.980588235294118,WR,4.067868540260685,4.628509656718028,3.4417340888414367,4.115448648563892,1.0,4.59627050176814,1.0WR,2.0,14900.0,3.7489749674362716,4.2569378650495056,3.1707233076921035,0.7999999999999998,1
Tyreek Hill,MIA,325.63000000000005,346.16,295.98999999999995,6,3,WR2,3.0,19.154705882352943,334.7400000000001,19.690588235294125,20.36235294117647,17.41117647058823,WR,3.9071334666616186,4.3754079970948965,3.213087885840049,4.116362495656404,2.0,4.489762568078359,2.0WR,3.0,14800.0,3.601629466970219,4.028772139357614,2.9567009223862883,0.0,1
Breece Hall,NYJ,301.31999999999994,375.62,239.10000000000002,12,4,RB2,5.2,17.724705882352936,289.2399999999998,17.01411764705881,22.095294117647057,14.064705882352943,RB,3.6096767072771785,5.28033656606014,2.1211611909516375,3.324632649946683,2.0,4.028894999876217,2.0RB,4.0,14700.0,3.0749326973321347,4.610125646726269,1.645420061108173,1.2000000000000002,1
Bijan Robinson,ATL,297.53999999999996,356.13,241.48000000000002,12,5,RB3,5.2,17.50235294117647,295.0099999999999,17.353529411764697,20.948823529411765,14.204705882352942,RB,3.520776672607487,4.8588578974323315,2.178688338887281,3.4611207143880596,3.0,3.713233533969415,3.0RB,5.0,14600.0,2.9911794283535387,4.2298457726390355,1.7017444222810343,0.20000000000000018,1
Amon-Ra St. Brown,DET,297.23,325.74,274.7,5,6,WR3,6.2,17.484117647058824,291.25,17.13235294117647,19.161176470588234,16.158823529411762,WR,3.242470584338754,3.909672629197901,2.705049510705167,3.1005370785887694,3.0,3.488817611298765,3.0WR,6.0,14500.0,2.984289958145147,3.603963017644247,2.475681111315205,0.20000000000000018,2
Ja'Marr Chase,CIN,296.11,325.23,273.8,12,7,WR4,6.6,17.418235294117647,289.30000000000007,17.017647058823535,19.131176470588237,16.105882352941176,WR,3.215932509479699,3.8978975968752776,2.6834479787895087,3.054132279703483,4.0,3.0888603402394312,4.0WR,7.0,14400.0,2.9593730001003773,3.593139885803227,2.455060792124856,-0.40000000000000036,2
Justin Jefferson,MIN,293.15999999999997,326.71000000000004,266.59,6,8,WR5,7.0,17.24470588235294,286.17999999999995,16.83411764705882,19.218235294117648,15.681764705882351,WR,3.1459332111633045,3.932050254796147,2.5101152720570163,2.9797681833521414,5.0,2.869861535501474,5.0WR,8.0,14300.0,2.8935509072130405,3.6245203952327123,2.289105182991568,-1.0,2
Saquon Barkley,PHI,265.67,334.29,228.81,5,9,RB4,9.2,15.62764705882353,233.90999999999997,13.759411764705881,19.664117647058823,13.459411764705882,RB,2.7618794344322937,4.371196964863312,1.8723806230697957,1.995684917639343,4.0,3.705829136474388,4.0RB,9.0,14200.0,2.2678344046680965,3.7838906961184264,1.4008337735047145,0.1999999999999993,2
Puka Nacua,LAR,273.06000000000006,306.92,245.92,6,14,WR8,14.2,16.062352941176474,266.34000000000015,15.66705882352942,18.054117647058824,14.465882352941176,WR,2.665680504395978,3.4711315657608366,2.0112712653204516,2.5040969630563854,6.0,2.8101099366150537,6.0WR,10.0,14100.0,2.438090109109124,3.198129646491923,1.8065475340240889,4.199999999999999,2
A.J. Brown,PHI,271.46999999999997,287.90000000000003,255.70000000000005,5,10,WR6,10.2,15.968823529411763,270.8099999999997,15.929999999999984,16.93529411764706,15.041176470588239,WR,2.6274860730963856,3.0207811020615427,2.2475568719261036,2.6116246397970335,7.0,2.6575670340820605,7.0WR,11.0,14000.0,2.4015771462220448,2.775510076474796,2.036036339585119,-0.8000000000000007,2
