Year,Scoring,Player,Team,ADP Rank,POS,ADP
2026,half,Jahmyr Gibbs,DET,1,RB1,1.0
2026,half,Bijan Robinson,ATL,2,RB2,2.0
2026,half,Ja'Marr Chase,CIN,3,WR1,3.0
2026,half,Puka Nacua,LAR,4,WR2,4.7
2026,half,Christian McCaffrey,SF,5,RB3,4.7
2026,half,Jonathan Taylor,IND,6,RB4,6.0
2026,half,Jaxon Smith-Njigba,SEA,7,WR3,7.0
2026,half,Amon-Ra St. Brown,DET,8,WR4,7.7
2026,half,James Cook,BUF,9,RB5,9.0
2026,half,CeeDee Lamb,DAL,10,WR5,11.3
2026,half,Saquon Barkley,PHI,11,RB6,12.0
2026,half,De'Von Achane,MIA,12,RB7,12.0
2026,half,Justin Jefferson,MIN,13,WR6,12.0
2026,half,Chase Brown,CIN,14,RB8,14.7
2026,half,Kenneth Walker,KC,15,RB9,15.7
2026,half,Omarion Hampton,LAC,16,RB10,16.0
2026,half,Ashton Jeanty,LV,17,RB11,16.0
2026,half,Derrick Henry,BAL,18,RB12,16.7
2026,half,A.J. Brown,NE,19,WR7,20.3
2026,half,Josh Allen,BUF,20,QB1,20.3
2026,half,Drake London,ATL,21,WR8,20.7
2026,half,Brock Bowers,LV,22,TE1,22.3
2026,half,Nico Collins,HOU,23,WR9,23.3
2026,half,George Pickens,DAL,24,WR10,24.3
2026,half,Trey McBride,ARI,25,TE2,26.3
2026,half,Chris Olave,NO,26,WR11,26.7
2026,half,Kyren Williams,LAR,27,RB13,26.7
2026,half,Jeremiyah Love,ARI,28,RB14,27.7
2026,half,Malik Nabers,NYG,29,WR12,28.3
2026,half,Javonte Williams,DAL,30,RB15,29.3
2026,half,DeVonta Smith,PHI,31,WR13,31.7
2026,half,Breece Hall,NYJ,32,RB16,31.7
2026,half,Rashee Rice,KC,33,WR14,33.0
2026,half,Zay Flowers,BAL,34,WR15,37.0
2026,half,Travis Etienne Jr.,NO,35,RB17,37.3
2026,half,Cam Skattebo,NYG,36,RB18,39.3
2026,half,Lamar Jackson,BAL,37,QB2,39.7
2026,half,Ladd McConkey,LAC,38,WR16,40.0
2026,half,Tetairoa McMillan,CAR,39,WR17,40.0
2026,half,Tee Higgins,CIN,40,WR18,40.3
2026,half,Colston Loveland,CHI,41,TE3,40.7
2026,half,D'Andre Swift,CHI,42,RB19,43.3
2026,half,Emeka Egbuka,TB,43,WR19,43.3
2026,half,Garrett Wilson,NYJ,44,WR20,44.0
2026,half,Jaylen Waddle,DEN,45,WR21,44.7
2026,half,Quinshon Judkins,CLE,46,RB20,46.3
2026,half,Bucky Irving,TB,47,RB21,46.7
2026,half,David Montgomery,HOU,48,RB22,47.3
2026,half,DJ Moore,BUF,49,WR22,47.7
2026,half,Tyler Warren,IND,50,TE4,50.0
2026,half,Drake Maye,NE,51,QB3,51.3
2026,half,Luther Burden,CHI,52,WR23,53.7
2026,half,Joe Burrow,CIN,53,QB4,53.7
2026,half,Terry McLaurin,WAS,54,WR24,54.3
2026,half,Jadarian Price,SEA,55,RB23,55.3
2026,half,Davante Adams,LAR,56,WR25,56.7
2026,half,Bhayshul Tuten,JAC,57,RB24,57.0
2026,half,TreVeyon Henderson,NE,58,RB25,58.0
2026,half,Jameson Williams,DET,59,WR26,58.7
2026,half,Josh Jacobs,GB,60,RB26,60.7
2026,half,Rome Odunze,CHI,61,WR27,61.3
2026,half,Jalen Hurts,PHI,62,QB5,62.3
2026,half,Jayden Daniels,WAS,63,QB6,63.3
2026,half,Christian Watson,GB,64,WR28,65.7
2026,half,Tucker Kraft,GB,65,TE5,66.0
2026,half,Mike Evans,SF,66,WR29,67.3
2026,half,Parker Washington,JAC,67,WR30,68.7
2026,half,Jaylen Warren,PIT,68,RB27,68.7
2026,half,Rhamondre Stevenson,NE,69,RB28,69.0
2026,half,Harold Fannin Jr.,CLE,70,TE6,69.7
2026,half,Sam LaPorta,DET,71,TE7,72.7
2026,half,Caleb Williams,CHI,72,QB7,73.0
2026,half,Kyle Pitts Sr.,ATL,73,TE8,75.0
2026,half,Carnell Tate,TEN,74,WR31,76.0
2026,half,Marvin Harrison Jr.,ARI,75,WR32,76.7
2026,half,Rico Dowdle,PIT,76,RB29,78.0
2026,half,Tony Pollard,TEN,77,RB30,78.3
2026,half,Justin Herbert,LAC,78,QB8,78.7
2026,half,Dak Prescott,DAL,79,QB9,80.7
2026,half,Brian Thomas Jr.,JAC,80,WR33,81.3
2026,half,Jonathon Brooks,CAR,81,RB31,81.7
2026,half,DK Metcalf,PIT,82,WR34,81.7
2026,half,Chris Godwin Jr.,TB,83,WR35,86.3
