Year,Player,Team,Pos,PassingATT,PassingATT High,PassingATT Low,PassingCMP,PassingCMP High,PassingCMP Low,PassingYDS,PassingYDS High,PassingYDS Low,PassingTD,PassingTD High,PassingTD Low,INTS,INTS High,INTS Low,RushingATT,RushingATT High,RushingATT Low,RushingYDS,RushingYDS High,RushingYDS Low,RushingTD,RushingTD High,RushingTD Low,FL,FL High,FL Low,FPTS,FPTS High,FPTS Low,REC,REC High,REC Low,ReceivingYDS,ReceivingYDS High,ReceivingYDS Low,ReceivingTD,ReceivingTD High,ReceivingTD Low
2026,Josh Allen,BUF,QB,498.0,509.0,487.0,337.1,340.2,334.0,3828.2,3945.4,3711.0,28.1,30.0,26.2,12.3,11.6,13.0,120.7,125.0,116.4,594.2,609.0,579.5,11.7,12.4,11.0,4.1,4.0,4.2,374.8,402.0,369.2,,,,,,,,,
2026,Jayden Daniels,WAS,QB,494.7,520.3,469.0,321.7,347.4,296.0,3658.7,3854.3,3463.0,24.7,27.0,22.4,11.0,9.9,12.0,135.5,140.0,131.0,707.9,746.0,669.8,5.1,5.1,5.0,2.8,2.0,3.7,329.6,362.0,318.5,,,,,,,,,
2026,Drake Maye,NE,QB,503.4,519.8,487.0,345.0,355.0,335.0,4022.3,4094.5,3950.0,28.0,29.0,27.0,11.1,11.0,11.2,102.5,104.0,101.0,541.8,552.0,531.6,4.0,4.1,4.0,5.6,5.1,6.0,328.9,362.0,319.0,,,,,,,,,
2026,Lamar Jackson,BAL,QB,436.0,467.1,405.0,285.4,302.8,268.0,3623.3,3884.5,3362.0,29.5,33.0,25.9,10.4,9.8,11.0,114.1,122.1,106.0,636.7,670.3,603.0,3.3,3.7,3.0,4.2,4.0,4.3,327.7,362.0,322.0,,,,,,,,,
2026,Jalen Hurts,PHI,QB,485.1,499.2,471.0,315.3,327.6,303.0,3578.6,3779.2,3378.0,24.8,26.0,23.5,7.6,6.0,9.2,112.1,118.0,106.3,463.9,490.0,437.8,8.6,9.2,8.0,4.0,4.0,4.1,324.4,348.0,320.4,,,,,,,,,
2026,Jaxson Dart,NYG,QB,506.3,509.0,503.6,321.6,327.2,316.0,3602.5,3689.0,3516.0,23.5,26.0,20.9,12.1,10.2,14.0,99.9,100.8,99.0,542.1,553.2,531.0,6.8,7.0,6.6,2.9,2.0,3.7,314.9,346.0,300.9,,,,,,,,,
2026,Brock Purdy,SF,QB,543.3,557.0,529.7,365.5,379.0,352.0,4148.4,4180.8,4116.0,28.5,30.0,27.1,14.9,13.9,16.0,73.2,81.0,65.4,313.1,349.0,277.3,4.3,5.0,3.6,4.3,3.7,5.0,313.6,350.0,293.1,,,,,,,,,
2026,Joe Burrow,CIN,QB,594.7,620.0,569.5,397.2,409.0,385.3,4196.7,4273.0,4120.4,33.5,34.0,32.9,12.5,10.9,14.0,41.9,51.8,32.0,177.0,189.0,165.0,1.5,2.1,1.0,1.9,1.0,2.8,312.4,351.0,303.9,,,,,,,,,
2026,Dak Prescott,DAL,QB,584.4,613.0,555.8,385.9,400.0,371.9,4272.1,4432.0,4112.1,31.3,33.0,29.7,12.0,12.0,12.0,51.1,51.2,51.0,179.5,185.9,173.0,2.1,2.2,2.0,2.8,2.0,3.6,309.0,361.0,285.9,,,,,,,,,
2026,Trevor Lawrence,JAC,QB,547.2,560.5,534.0,335.1,347.2,323.0,3862.9,3928.8,3797.0,27.4,30.0,24.8,14.0,13.0,15.0,75.2,77.0,73.5,331.2,334.3,328.0,5.4,6.0,4.8,3.4,3.0,3.8,308.7,346.0,287.4,,,,,,,,,
2026,Patrick Mahomes I,IKC,QB,558.1,565.0,551.2,355.0,358.0,352.0,3833.9,3992.7,3675.0,27.6,29.0,26.1,11.8,11.7,12.0,62.0,71.0,53.1,381.2,436.0,326.4,3.6,4.0,3.2,2.0,1.0,3.0,307.6,345.0,289.7,,,,,,,,,
