Rank,QB WAR,RB WAR,WR WAR,TE WAR
1.0,3.44577831734665,6.7503670405272755,4.566603981556449,4.637990467194961
2.0,2.6953759820880907,5.7004263834076,4.464231074840838,1.9734245260754761
3.0,2.5963375283581134,5.2679307591317075,3.346344103121575,1.809936968495785
4.0,2.2935090165662437,4.930447268015268,3.258132509367113,1.7035996855193745
5.0,2.238688114276657,4.792703845442618,3.0643554407964086,1.6482020170772846
6.0,2.237202852842678,4.3877219222635295,2.595790440406993,1.5955456153675607
7.0,2.103670426541929,3.4208498642075744,2.034299040328026,1.5764439042029494
8.0,1.8719263194154492,3.4067394912308218,1.8241870460298388,1.4958271986342742
9.0,1.7336511019935557,3.1983340033625125,1.8016322938936273,1.360848057231072
10.0,1.711450926431791,3.1444514919430486,1.7674914204832217,1.2375329148912297
11.0,1.6529378042365825,3.0809796738370347,1.7301127355639858,1.219823442206485
12.0,1.4845851240725545,2.9913915750271505,1.6606536426862943,1.1601557534659888
13.0,1.4197985155325168,2.742244406244272,1.4880500670037629,0.932789254925798
14.0,1.243243235274337,2.7248850889156677,1.4751623386352612,0.9066311582921321
15.0,1.0180359981197922,2.6813367433262765,1.400261891381652,0.7336446404083685
16.0,1.0174434361247688,2.3040938364317007,1.3577233386378715,0.580355180026485
17.0,0.9395618361813789,2.1688818786333584,1.2878685306728128,0.4679813546065486
18.0,0.8219216247145946,2.1422983333575303,1.151464871568119,0.4150174949899652
19.0,0.5527625370838378,2.101057445663786,1.1159900094352837,0.40096039873996064
20.0,0.4939275480006736,2.0852473466249646,1.0764730533236306,0.40010808548427906
21.0,0.4835525913636613,1.814395199374069,1.0505362996461418,0.29740793768747253
22.0,0.4674297895817224,1.6959698674142432,0.9749674535833446,0.16634740789658015
23.0,0.4584004898100912,1.6113866898772908,0.9655090200460319,0.020865621675070056
24.0,0.29054946308623736,1.602055279452346,0.9475724921078963,-0.00489253530507372
25.0,0.21371993929790994,1.4665899347817888,0.9390308375903718,-0.01931340667386694
26.0,0.1972235857984701,1.4515990974341013,0.9359658485196218,-0.1151317984226568
27.0,0.18219108797213152,1.4157869502387752,0.9284897539176094,-0.13344441127813167
28.0,0.10583398201544814,1.2930232601157226,0.8630439147396137,-0.17077861727321964
29.0,0.10479759736860489,1.1788427699405206,0.8319463661136226,
30.0,0.08800936798461878,1.0059648864936637,0.798072083553665,
31.0,0.05948980419973626,0.9827232168587507,0.6898441849001082,
32.0,0.03664151230489848,0.8840609420590901,0.6833761896167002,
33.0,0.009243320081585626,0.838794422181841,0.6659214939746705,
34.0,-0.0483030430786619,0.8259185968156155,0.5259566716735414,-0.1724918788220191
35.0,-0.06307474842601168,0.7679238969983853,0.47501597336662904,
36.0,-0.11732949881809679,0.7176975702676385,0.45139974554942025,
37.0,-0.14900892757863382,0.712405607815354,0.43902765743765604,
38.0,-0.19385753172502324,0.7100139978476534,0.42548719462523776,
39.0,,0.6168473573168268,0.3958460472151714,
40.0,-0.194658438583898,0.6108651847827393,0.3813699933437609,-0.24651570575719534
41.0,,0.5468982573971826,0.3268441127592979,-0.3031667148342906
42.0,,0.4530063949818455,0.32561840533569864,-0.3141569099135765
42.5,-0.19545144755086494,,,
43.0,,0.3958098053851752,0.3178881793844248,
44.0,-0.20696880421130767,0.302878402046078,0.3167110811947072,
45.0,-0.24245116322257226,0.2945976657078488,0.2924074662679407,-0.3449837576440382
46.0,-0.24868351618892348,0.23851505589706895,0.2813582009567233,
47.0,-0.249758442083284,0.21958133222220177,0.1931507675485391,
48.0,-0.25676125249392845,0.18885030953312026,0.11817417401793723,-0.3604092371882869
49.0,-0.30696739393996375,0.14765788983888328,0.06973756609659376,-0.38322510587198794
50.0,-0.32187196057396644,0.060000880134262635,0.046833254830075,-0.49297842812310205
